"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","129","tests","test_api_sample","TestAPISample","","","test_put_request","Test a PUT request to update a resource"
"passed","Sat May 10 14:02:13 UTC 2025","Sat May 10 14:02:14 UTC 2025","592","tests","test_sample","TestSample","","","test_sample","Test sample functionality"
"skipped","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","0","tests","test_api_with_ai","TestAPIWithAI","","","test_create_post_with_ai_data","Test creating a post with AI-generated data"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:13 UTC 2025","44","tests","test_api_sample","TestAPISample","","","test_response_headers","Test response headers in API requests"
"skipped","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","0","tests","test_db_sample","TestDBSample","","","test_clickhouse_parameterized_query","Test a parameterized query on ClickHouse"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","55","tests","test_api_sample","TestAPISample","","","test_query_parameters","Test using query parameters in API requests"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","74","tests","test_api_db_integration","TestAPIDBIntegration","","","test_create_post_and_verify_in_db","Test creating a post via API and verifying it in the database"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","116","tests","test_api_db_integration","TestAPIDBIntegration","","","test_delete_post_and_verify_in_db","Test deleting a post via API and verifying it's removed from the database"
"skipped","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","0","tests","test_db_sample","TestDBSample","","","test_clickhouse_query","Test a simple ClickHouse query"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","110","tests","test_api_sample","TestAPISample","","","test_post_request","Test a POST request to create a new resource"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","18","tests","test_db_sample","TestDBSample","","","test_postgres_query","Test a simple PostgreSQL query"
"skipped","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","0","tests","test_api_with_ai","TestAPIWithAI","","","test_get_user_with_ai_constraints","Test retrieving user data with AI-generated constraints"
"skipped","Sat May 10 14:02:13 UTC 2025","Sat May 10 14:02:13 UTC 2025","0","tests","test_ui_with_ai","TestLoginWithAI","","","test_login_for_ai_analysis","Test with intentional failure for AI analysis demonstration"
"skipped","Sat May 10 14:02:13 UTC 2025","Sat May 10 14:02:13 UTC 2025","0","tests","test_ui_with_ai","TestLoginWithAI","","","test_login_with_ai_data","Test login with AI-generated credentials"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","111","tests","test_api_sample","TestAPISample","","","test_delete_request","Test a DELETE request to remove a resource"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","115","tests","test_api_db_integration","TestAPIDBIntegration","","","test_update_post_and_verify_in_db","Test updating a post via API and verifying it in the database"
"skipped","Sat May 10 14:02:13 UTC 2025","Sat May 10 14:02:13 UTC 2025","0","tests","test_aws_sample","TestAWSSample","","","test_s3_operations","Test S3 bucket and object operations"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","81","tests","test_api_sample","TestAPISample","","","test_get_request","Test a simple GET request to an API endpoint"
"passed","Sat May 10 14:02:12 UTC 2025","Sat May 10 14:02:12 UTC 2025","7","tests","test_db_sample","TestDBSample","","","test_postgres_parameterized_query","Test a parameterized query on PostgreSQL"
